Afghanistan,17Mar2020
Albania,26Mar2020
Algeria,18Mar2020
Andorra,22Mar2020
Angola,01Apr2020
Antigua and Barbuda,29Mar2020
Argentina,23Mar2020
Armenia,21Mar2020
Australia,29Feb2020
Austria,18Mar2020
Azerbaijan,21Mar2020
Bahrain,17Mar2020
Bangladesh,26Mar2020
Barbados,31Mar2020
Belarus,20Mar2020
Belgium,05Mar2020
Belize,04Apr2020
Benin,30Mar2020
Bhutan,24Mar2020
Bolivia (Plurinational State of),27Mar2020
Bosnia and Herzegovina,23Mar2020
Botswana,07Apr2020
Brazil,19Mar2020
Brunei Darussalam,26Mar2020
Bulgaria,26Mar2020
Burkina Faso,26Mar2020
Burundi,08Apr2020
Cabo Verde,01Apr2020
Cambodia,01Mar2020
Cameroon,24Mar2020
Canada,29Feb2020
Central African Republic (the),29Mar2020
Chad,01Apr2020
Chile,23Mar2020
China,27Feb2020
Colombia,24Mar2020
Congo (the),29Mar2020
Costa Rica,24Mar2020
Croatia,18Mar2020
Cuba,28Mar2020
Cyprus,26Mar2020
Czechia,21Mar2020
Democratic People's Republic of Korea (the),27Feb2020
Democratic Republic of the Congo (the),27Mar2020
Denmark,20Mar2020
Djibouti,01Apr2020
Dominica,03Apr2020
Dominican Republic (the),21Mar2020
Ecuador,21Mar2020
Egypt,11Mar2020
El Salvador,01Apr2020
Equatorial Guinea,29Mar2020
Eritrea,02Apr2020
Estonia,20Mar2020
Eswatini,29Mar2020
Ethiopia,29Mar2020
Fiji,01Apr2020
Finland,02Mar2020
France,28Feb2020
Gabon,29Mar2020
Georgia,19Mar2020
Germany,01Mar2020
Ghana,29Mar2020
Greece,19Mar2020
Grenada,03Apr2020
Guatemala,29Mar2020
Guinea,29Mar2020
Guinea-Bissau,04Apr2020
Guyana,28Mar2020
Haiti,01Apr2020
Honduras,27Mar2020
Hungary,23Mar2020
Iceland,20Mar2020
India,02Mar2020
Indonesia,22Mar2020
Iran (Islamic Republic of),14Mar2020
Iraq,17Mar2020
Ireland,20Mar2020
Israel,16Mar2020
Italy,03Mar2020
Jamaica,27Mar2020
Japan,27Feb2020
Jordan,23Mar2020
Kazakhstan,29Mar2020
Kenya,29Mar2020
Kuwait,17Mar2020
Kyrgyzstan,01Apr2020
Latvia,22Mar2020
Lebanon,16Mar2020
Liberia,30Mar2020
Libya,04Apr2020
Liechtenstein,23Mar2020
Lithuania,20Mar2020
Luxembourg,20Mar2020
Madagascar,01Apr2020
Malawi,10Apr2020
Malaysia,28Feb2020
Maldives,26Mar2020
Mali,04Apr2020
Malta,25Mar2020
Mauritania,29Mar2020
Mauritius,01Apr2020
Mexico,20Mar2020
Monaco,20Mar2020
Mongolia,26Mar2020
Montenegro,31Mar2020
Morocco,22Mar2020
Mozambique,03Apr2020
Myanmar,06Apr2020
Namibia,29Mar2020
Nepal,28Feb2020
Netherlands (the),20Mar2020
New Zealand,20Mar2020
Nicaragua,01Apr2020
Niger (the),01Apr2020
Nigeria,20Mar2020
North Macedonia,19Mar2020
Norway,19Mar2020
Oman,17Mar2020
Pakistan,19Mar2020
Panama,26Mar2020
Papua New Guinea,01Apr2020
Paraguay,26Mar2020
Peru,24Mar2020
Philippines (the),02Mar2020
Poland,23Mar2020
Portugal,22Mar2020
Qatar,20Mar2020
Republic of Moldova (the),26Mar2020
Romania,19Mar2020
Russian Federation (the),03Mar2020
Rwanda,29Mar2020
Saint Kitts and Nevis,04Apr2020
Saint Lucia,29Mar2020
Saint Vincent and the Grenadines,29Mar2020
San Marino,20Mar2020
Sao Tome and Principe,12Apr2020
Saudi Arabia,22Mar2020
Senegal,22Mar2020
Serbia,24Mar2020
Seychelles,29Mar2020
Sierra Leone,08Apr2020
Singapore,28Feb2020
Slovakia,24Mar2020
Slovenia,23Mar2020
Somalia,30Mar2020
South Africa,23Mar2020
South Sudan,29Mar2020
Spain,04Mar2020
Sri Lanka,01Mar2020
Suriname,29Mar2020
Sweden,03Mar2020
Switzerland,18Mar2020
Syrian Arab Republic (the),03Apr2020
Taiwan,27Feb2020
Thailand,27Feb2020
Timor-Leste,03Apr2020
Togo,24Mar2020
Trinidad and Tobago,29Mar2020
Tunisia,23Mar2020
Turkey,27Mar2020
Uganda,02Apr2020
Ukraine,23Mar2020
United Arab Emirates (the),02Mar2020
United Kingdom of Great Britain and Northern Ireland (the),03Mar2020
United Republic of Tanzania (the),30Mar2020
United States of America (the),27Feb2020
Uruguay,29Mar2020
Uzbekistan,29Mar2020
Venezuela (Bolivarian Republic of),29Mar2020
Viet Nam,28Feb2020
Yemen,14Apr2020
Zambia,01Apr2020
Zimbabwe,01Apr2020
